Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2023-03-30,8287.6455078125,8358.078755754248,8264.167758498583,8358.078755754248,118912100
2023-03-31,8217.2119140625,8311.122907366072,8193.734165736607,8287.64515904018,97146900
2023-04-03,8264.1669921875,8287.644739324396,8217.211497913708,8287.644739324396,60288900
2023-04-04,8240.689453125,8287.644948584402,8123.300714476495,8287.644948584402,60975800
2023-04-05,8193.734375,8264.167621776503,8193.734375,8240.689872851002,36922100
2023-04-06,8217.2119140625,8240.689662388393,8170.256417410715,8170.256417410715,45489400
2023-04-10,8264.1669921875,8264.1669921875,8170.2560036399145,8193.733750776812,32996000
2023-04-11,8287.6455078125,8287.6455078125,8217.21225987075,8287.6455078125,44554300
2023-04-12,8358.078125,8358.078125,8287.644882373595,8358.078125,91903600
2023-04-13,8381.556640625,8405.034390318628,8334.601141237745,8405.034390318628,51726500
2023-04-14,8451.990234375,8451.990234375,8405.034733072916,8451.990234375,110354200
2023-04-17,8475.4677734375,8498.945523502423,8358.079023112881,8475.4677734375,83946900
2023-04-18,8569.37890625,8616.334407106164,8475.46790453767,8498.945654965753,91178700
2023-04-26,8639.8115234375,8639.8115234375,8451.989533797554,8569.378277322521,186928200
2023-04-27,8592.85546875,8616.333215932376,8522.42222720287,8545.899974385246,54842400
2023-04-28,8498.9453125,8569.378560946132,8498.9453125,8545.90081146409,145775300
2023-05-02,8498.9453125,8545.90081146409,8358.078815607734,8545.90081146409,83645900
2023-05-03,8381.556640625,8498.945389093136,8334.601141237745,8498.945389093136,83728800
2023-05-04,8451.990234375,8475.467985026042,8334.601481119793,8381.556982421875,67565000
2023-05-05,8451.990234375,8498.945735677084,8405.034733072916,8451.990234375,64815100
2023-05-08,8451.990234375,8522.423486328125,8405.034733072916,8451.990234375,84754500
2023-05-09,8381.556640625,8428.512140012255,8358.078890931372,8405.034390318628,40929600
2023-05-10,8381.556640625,8405.034390318628,8358.078890931372,8381.556640625,45322600
2023-05-11,8287.6455078125,8358.078755754248,8264.167758498583,8358.078755754248,81993900
2023-05-12,8264.1669921875,8334.600233598188,8193.733750776812,8217.211497913708,96525600
2023-05-15,8240.689453125,8334.600444043803,8193.733957665598,8334.600444043803,64830300
2023-05-16,8170.25634765625,8287.645088283494,8170.25634765625,8264.167340158046,49497000
2023-05-17,8240.689453125,8311.122696314102,8217.211705395299,8240.689453125,69996100
2023-05-19,8451.990234375,8451.990234375,8287.64597981771,8358.079231770833,123592500
2023-05-22,8451.990234375,8522.423486328125,8381.556982421875,8451.990234375,91000000
2023-05-23,8569.37890625,8592.856656678083,8475.46790453767,8498.945654965753,102980500
2023-05-24,8475.4677734375,8639.812023891967,8475.4677734375,8639.812023891967,77392900
2023-05-25,8498.9453125,8592.856310428177,8498.9453125,8545.90081146409,76325700
2023-05-26,8592.85546875,8639.810963114754,8545.899974385246,8616.333215932376,55675900
2023-05-29,8592.85546875,8686.766457479507,8522.42222720287,8686.766457479507,79148200
2023-05-30,8686.7666015625,8757.199844277871,8592.855611275338,8639.81110641892,97189500
2023-05-31,8498.9453125,8757.200556802487,8498.9453125,8733.722807320442,722827900
2023-06-05,8639.8115234375,8757.200266962465,8545.900528617527,8592.856026027514,163535600
2023-06-06,8592.85546875,8639.810963114754,8498.944480020491,8498.944480020491,74872200
2023-06-07,8545.9013671875,8616.33462021377,8522.423616178743,8569.379118196257,87492200
2023-06-08,8569.37890625,8569.37890625,8522.423405393836,8522.423405393836,53188400
2023-06-09,8545.9013671875,8616.33462021377,8545.9013671875,8616.33462021377,44632400
2023-06-12,8592.85546875,8592.85546875,8545.899974385246,8592.85546875,38082300
2023-06-13,8592.85546875,8616.333215932376,8545.899974385246,8616.333215932376,45552600
2023-06-14,8522.4228515625,8569.378349367253,8498.945102660124,8545.900600464876,72223700
2023-06-15,8498.9453125,8545.90081146409,8498.9453125,8545.90081146409,59073000
2023-06-16,8498.9453125,8545.90081146409,8428.512064053868,8545.90081146409,112769400
2023-06-19,8451.990234375,8498.945735677084,8451.990234375,8451.990234375,32330600
2023-06-20,8498.9453125,8498.9453125,8405.034314571823,8475.467563017955,54990100
2023-06-21,8569.37890625,8569.37890625,8451.99015410959,8498.945654965753,42676300
2023-06-22,8498.9453125,8592.856310428177,8498.9453125,8569.378560946132,48291100
2023-06-23,8498.9453125,8592.856310428177,8475.467563017955,8475.467563017955,47813500
2023-06-26,8522.4228515625,8569.378349367253,8475.467353757747,8475.467353757747,36389900
2023-06-27,8592.85546875,8592.85546875,8498.944480020491,8498.944480020491,36225100
2023-07-03,8522.4228515625,8522.4228515625,8475.467353757747,8475.467353757747,108855900
2023-07-04,8498.9453125,8592.856310428177,8498.9453125,8592.856310428177,35049300
2023-07-05,8498.9453125,8522.423061982045,8475.467563017955,8498.9453125,44609200
2023-07-06,8522.4228515625,8545.900600464876,8475.467353757747,8498.945102660124,52532400
2023-07-07,8475.4677734375,8545.901023632272,8475.4677734375,8475.4677734375,37641300
2023-07-10,8498.9453125,8545.90081146409,8498.9453125,8545.90081146409,28981500
2023-07-11,8475.4677734375,8545.901023632272,8475.4677734375,8545.901023632272,43703500
2023-07-12,8616.3330078125,8616.3330078125,8498.944274736035,8522.422021351329,61566500
2023-07-13,8569.37890625,8663.28990796233,8569.37890625,8639.812157534247,65230900
2023-07-14,8639.8115234375,8639.8115234375,8569.378277322521,8616.333774732508,55554500
2023-07-17,8616.3330078125,8686.76624765838,8616.3330078125,8639.810754427794,62550100
2023-07-18,8592.85546875,8686.766457479507,8545.899974385246,8639.810963114754,52924600
2023-07-20,8592.85546875,8663.28871029713,8569.377721567622,8639.810963114754,83476600
2023-07-21,8592.85546875,8616.333215932376,8569.377721567622,8592.85546875,42667800
2023-07-24,8545.9013671875,8639.812371222528,8545.9013671875,8639.812371222528,62061200
2023-07-25,8592.85546875,8733.721951844262,8592.85546875,8616.333215932376,122802700
2023-07-26,8780.677734375,8780.677734375,8569.37800279913,8616.33349870488,113868700
2023-07-27,8663.2890625,8827.633299457995,8663.2890625,8827.633299457995,77848400
2023-07-28,8569.37890625,8663.28990796233,8569.37890625,8639.812157534247,74510200
2023-07-31,8569.37890625,8639.812157534247,8545.901155821917,8616.334407106164,80868000
2023-08-01,8569.37890625,8616.334407106164,8545.901155821917,8616.334407106164,49756400
2023-08-02,8639.8115234375,8639.8115234375,8569.378277322521,8569.378277322521,60629900
2023-08-03,8686.7666015625,8733.722096706082,8592.855611275338,8592.855611275338,64596100
2023-08-04,8592.85546875,8710.244204661885,8569.377721567622,8686.766457479507,52675900
2023-08-07,8710.2451171875,8710.2451171875,8592.856368977426,8592.856368977426,55589300
2023-08-08,8639.8115234375,8733.722518257473,8639.8115234375,8710.244769552479,43373400
2023-08-09,8827.6337890625,8827.6337890625,8686.767292428523,8710.24504186752,77056800
2023-08-10,8827.6337890625,8851.111538501496,8780.678290184507,8827.6337890625,76738100
2023-08-11,8827.6337890625,8874.589287940491,8804.156039623504,8851.111538501496,68898600
2023-08-14,8780.677734375,8780.677734375,8663.288994610628,8757.199986422125,75495400
2023-08-15,8733.72265625,8804.155903477822,8733.72265625,8757.20040532594,59303700
2023-08-16,8733.72265625,8757.20040532594,8686.767158098119,8710.24490717406,53440000
2023-08-18,8686.7666015625,8780.677591849662,8686.7666015625,8686.7666015625,79328900
2023-08-21,8616.3330078125,8686.76624765838,8616.3330078125,8663.288501043085,73573000
2023-08-22,8733.72265625,8757.20040532594,8592.856161794354,8592.856161794354,65664600
2023-08-23,8733.72265625,8757.20040532594,8710.24490717406,8733.72265625,63749800
2023-08-24,8639.8115234375,8757.200266962465,8639.8115234375,8686.767020847486,53725900
2023-08-25,8710.2451171875,8710.2451171875,8616.334118619441,8639.811868261455,50379000
2023-08-28,8639.8115234375,8686.767020847486,8639.8115234375,8686.767020847486,44423100
2023-08-29,8686.7666015625,8733.722096706082,8639.81110641892,8710.244349134291,45428500
